1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3.551836103,3.752258989,1.848333338,3.359521157,3.548710605,2.531943483,3.058915086,2.49976508,2.709925407,3.366130012,3.768835371,1.993661718,2.43977155,1.842544138,3.532615823,2.129649237,3.773616074,2.931596872,3.721682452,2.678302978
3.728676785,2.231277635,3.014653877,3.122613299,2.082910023,3.739411266,3.844903908,3.808885739,3.267142972,2.814510975,3.70621885,2.804675597,3.137352601,3.485688793,3.173179845,3.039436735,3.811262076,2.677147856,2.973517852,2.86540116
2.654659029,2.050986513,3.260433147,3.241648507,2.616441233,2.573420832,3.372643739,3.197254192,3.710457211,3.468077961,2.993887226,2.918901197,2.793008096,3.590326956,3.932323742,2.732558473,3.800400254,3.472777187,3.784820809,3.501413119
2.969635159,3.0908834,3.20092712,3.245442931,2.455813402,3.28286621,2.884111163,2.417802538,3.289659129,3.23583757,2.50591468,3.629679334,3.417387307,3.104951983,2.918192509,3.717422784,3.430010379,3.328504696,3.588445468,3.829135062
3.257763113,2.496538058,2.931810759,2.12749094,3.632939602,3.493514825,2.632509464,2.66232236,3.573090285,3.46098501,2.967403955,3.37199373,3.168559703,3.775203515,3.292012074,2.974441911,3.74303495,3.668447725,3.002111565,3.29342642
3.586260412,3.522324806,3.138339322,1.643803015,2.942350732,3.764556164,2.824059511,3.676300476,3.331506206,3.308529047,1.407158977,2.759085373,3.031227758,3.972195526,3.405923936,3.006680697,3.577535423,2.59865954,3.716234169,2.533854408
3.345258985,3.560791271,3.915757144,3.307522043,1.832915624,3.65384485,3.472308354,2.173842335,3.8305835,2.380766588,3.015287476,3.593677068,3.688665396,2.245278076,3.428865085,3.140413851,2.218990262,3.552629412,2.243501445,3.980478263
3.851463775,3.129548788,2.987471728,2.98416045,2.735767199,3.644228206,3.727773311,3.554091747,3.89951329,3.871331608,2.355197503,1.924038602,2.219186129,2.387066636,3.72951175,3.195467763,3.517740311,3.103758168,2.602476184,3.711656832
3.14860359,2.593897269,2.673907835,2.751645403,3.662993957,3.708820693,3.600066505,3.696902851,3.591000253,3.484527384,1.318519025,3.840256176,3.55474643,2.998541916,3.261013994,3.342164147,3.06101992,2.860849388,3.613698048,2.028080425
2.700151758,3.812110574,3.684836831,3.755708364,3.929136724,3.361069046,2.083118612,2.436813016,3.614669487,3.416951142,3.327787134,3.499360932,3.254711899,3.28352071,3.205003692,3.141133201,3.381797739,3.420194063,3.672324947,2.91437203
3.681697107,3.307384117,2.579616614,3.689247001,3.616446665,3.315363968,3.514959919,3.536809808,3.160304702,3.575486923,3.00613189,2.932572103,2.880374382,3.025969363,1.394420118,3.314071269,2.005734786,3.881370648,3.366159926,3.848653501
2.434910141,2.833292649,3.830655423,3.669769958,1.312213375,2.586614635,2.619456306,3.484642307,2.721253811,3.797549189,2.28097557,2.727663347,3.235039198,2.603576413,2.943747879,1.796699093,3.517524099,2.768934926,3.535603324,2.466139515
3.914354494,3.373710062,2.105979179,3.788403736,3.874551376,3.034913436,1.220105446,1.698278297,3.521272808,2.88512135,3.500249342,3.696419008,3.558555294,2.757278989,3.057668917,1.520998746,2.488968111,3.089303427,3.017240091,3.510401491
3.512409556,3.642824321,3.455761644,3.512826328,2.800669491,3.914039691,2.779877907,3.163461279,3.869886974,3.368715159,3.104240237,3.445975477,3.09186416,1.897631066,3.723133973,3.6504161,2.246962613,3.107959594,3.093605823,2.73707618
2.24997325,3.606985444,2.794346359,3.081883145,2.524964323,3.302851124,3.494755467,3.010827006,3.443160609,3.729742975,3.487161953,3.598980701,3.504561639,2.484096724,3.887233143,3.786566952,3.085237671,3.333045172,3.400084381,3.812643574
3.243145213,2.097419783,3.286522047,3.515649913,3.3629102,3.19545775,3.940699511,3.797187376,3.220121295,3.197337262,2.594394176,3.211048873,2.556444976,2.800192284,3.107588757,3.443502314,3.499369438,2.706846088,3.13303343,2.17682766
3.480056687,3.43178477,3.874561672,2.441447926,3.350034924,3.688790425,3.369333256,3.842965807,3.215219415,2.912226023,3.473063319,3.499055434,3.797820768,3.351937395,3.920236974,2.414207799,2.434609164,3.577919523,2.880353995,3.482785428
3.692390821,3.333067061,3.122512083,2.495834466,2.864905848,3.543203623,3.330667057,3.334680147,3.563491755,3.111219632,1.895958256,2.971913884,3.339905585,2.87920281,2.993751189,3.099607915,3.706968679,3.456995277,3.999521511,3.491890285
2.733125365,3.455972456,3.703112575,3.608429315,2.761331674,3.527956394,2.99930053,3.546128097,2.382554687,3.303669824,3.072648138,1.836419254,3.913670521,3.651177739,2.929552545,3.506596801,2.870954887,3.998384075,2.571215482,3.551154314
3.028987672,3.589779702,3.586229217,2.278169447,2.593274018,2.713538968,2.585042911,3.896853524,3.28355472,3.861630414,1.996493936,3.759053535,3.334571289,3.331825452,3.260087101,3.006968017,3.451736172,3.630739272,3.686765838,2.846049223
3.799899644,2.405939978,1.903680355,2.950265429,2.959270239,2.548061085,3.541272517,2.973994004,2.455151881,1.628630083,3.800857761,3.240057027,3.893205192,3.459888901,2.907646412,3.265146483,1.793885939,3.373702925,2.066836321,3.289671041
3.0251805,1.147206393,2.458494486,3.740880632,3.554569941,3.518307207,2.599387137,3.482971769,3.619989972,3.3395265,3.514233855,3.57492443,3.071838888,3.545837752,3.965518502,3.125005726,3.869802613,2.756561892,2.956622536,3.017071505
3.822727293,3.431296879,3.216100631,3.438221542,2.32668089,2.905968469,3.506521479,3.963576408,3.690326222,3.192858432,3.610788932,3.482728467,3.549563892,2.986327533,3.264265693,3.195398281,3.965718672,3.09560696,3.487762666,3.781008586
3.991274288,3.828245864,3.239872084,3.458393288,2.447759284,3.692043715,2.094401743,2.716645614,3.814490075,2.985358283,3.472388821,3.397135948,3.579773496,3.366654689,2.940211149,2.217713723,2.149451086,2.720366304,3.914609667,3.493669009
3.732527198,3.592093394,3.225717931,3.432559523,3.530750496,2.892529112,3.048685929,3.947281138,3.052553208,3.875501379,3.301775888,2.772246221,3.610067317,3.724123812,2.447715272,2.82693519,3.696973812,3.282772234,3.781892132,2.725542544
3.885811816,2.399216114,3.250921467,3.186131869,3.565661426,2.49059677,3.434643692,3.228658407,2.562985187,3.188525748,3.255542836,3.78543526,1.81247003,3.35441326,2.740413468,3.786562977,2.232276391,2.349705348,2.671000172,3.089328782
3.536516673,3.379133529,2.425830011,3.410271595,2.73362445,3.285628953,3.172570384,3.233704545,3.913640879,3.901711156,2.080676407,3.292978929,3.996729922,2.734731871,3.266143564,3.307182859,2.309590455,3.061638339,3.60835089,2.439732515
3.09203225,3.736006403,2.536655648,3.21452174,3.29364047,3.839943292,2.387523799,2.302098775,2.087386497,3.467916409,3.457934218,3.607029481,2.814730212,3.532207707,2.129122972,3.66118822,1.738209081,3.918825958,3.41142556,3.994646001
3.746000709,3.695179149,2.257731167,2.782468151,3.185083091,2.444664674,2.556769558,3.71500073,3.15737664,2.909848163,3.298190192,2.38440561,3.287225431,3.12017621,3.641227847,3.053438955,3.35399337,3.712265999,3.767680798,3.342558083
3.760551026,3.365437742,3.497586174,3.798656993,2.632292652,2.772691418,3.752488201,3.019283259,3.762067156,3.184033434,2.866324082,2.447534775,3.510503613,3.262836669,3.66722294,3.787369168,3.059768215,3.295192876,3.834471829,3.880690754
3.939885959,2.820263621,2.941705691,2.328299725,3.079994187,2.47578262,3.125302907,3.715027407,3.713953148,3.629918598,3.708888081,3.794418885,3.845677166,2.214635201,2.194665221,2.947260788,1.751359242,3.377251453,2.858407599,2.23942258
2.865907482,3.62222884,3.334344988,3.405671787,2.170579228,3.722600198,3.175892567,2.558298714,3.257736693,3.258266497,3.025465523,2.950508929,1.675496957,3.686346221,3.606453654,2.639091842,3.195029858,3.480481042,2.567064909,3.74210859
2.818327704,3.196127666,2.738535336,3.371333807,3.469031393,3.672439096,2.266690179,2.482195737,2.93550851,3.242188165,3.153741716,3.919777848,2.427936897,2.949306923,2.200642404,3.713348446,3.529399558,3.796590897,3.858227002,3.828917683
3.149951352,3.097698231,3.819684347,3.569941339,3.574526429,1.815267319,3.368409284,3.582295988,3.365780562,2.182662289,3.383666829,3.681665688,3.562565956,3.925371048,3.599923168,2.727843179,3.317816198,3.089500968,2.260965581,3.255951498
3.712708729,2.624377891,3.443698373,3.169696724,3.710673877,2.697608316,3.477627654,3.884544432,3.078400833,3.890293426,3.452448768,2.674032598,2.721616419,3.466670641,3.768520151,2.840548708,2.890832793,4.005226744,3.767734135,2.798927771
3.525980786,3.796738316,2.431571553,2.636080619,3.466882005,2.161487936,2.92602976,3.908936255,3.452601563,2.379487718,1.851749252,2.435920151,2.747816309,3.0833287,3.578547945,3.919655432,3.127614589,3.128553608,2.994389967,3.160706311
2.405626302,3.981423575,3.001529545,3.306518278,3.232291553,3.80443156,2.269739925,3.224707505,3.020886038,3.197476306,3.465141889,3.034896056,1.493878562,2.48087918,1.416527929,2.280131729,3.150074976,3.220125681,2.06306014,3.549968202
3.728264492,2.801330681,3.637965477,3.760355357,3.529687302,2.976847167,3.942665577,2.355745045,3.056582727,3.648384533,3.018646722,2.854289063,3.188362429,3.247400719,2.130519354,3.079202161,3.136637365,2.65493403,2.718490525,2.295625818
3.55451119,3.469008786,3.718040656,2.951163347,2.569185568,3.536940003,1.746848114,2.959944624,2.72181439,2.320683976,3.519022002,3.453440165,2.921533977,2.696255931,3.576591954,3.564801025,3.135325753,3.122259009,2.794525829,3.574625923
3.776488777,2.323237978,3.402465951,3.803737849,3.648410767,2.818263313,3.786183253,3.906276444,2.859775679,3.617482154,3.045356832,2.358130215,2.907015936,2.644389517,1.945207652,3.865332975,3.401551696,3.859800119,2.937030515,2.909750809
1.152084038,2.348993515,2.934084795,3.432037977,2.303768286,3.512192109,3.781894407,1.759289689,3.839102874,3.561450395,2.78221334,2.345569001,3.413530982,2.785137047,3.05340672,3.678682653,2.741700797,3.791229476,3.251329108,3.045848813
2.964600555,3.431403951,3.676550604,3.122739589,3.016348958,2.948524479,1.999794351,3.178473132,3.59062387,2.667237839,3.429276222,3.818084894,3.179941795,3.639708916,3.005620629,3.671211102,3.805693273,3.241464304,2.769180242,1.938946431
2.666088594,3.191442345,3.424470314,3.219096225,2.611919317,3.431736742,3.542937923,3.859806731,2.215048252,3.779603491,3.201754634,3.59859276,3.023120751,2.888722811,3.13857519,2.555246278,2.462443154,3.502880011,2.976591979,3.412620477
3.35986922,3.078879265,2.616355935,3.781206681,2.552141621,2.711516447,2.836100604,3.753730279,3.178511535,3.550180409,3.121511929,3.623364373,1.751872564,2.635746195,3.020516988,3.362608437,3.101983264,2.720989616,3.362470522,1.785930687
2.805468543,2.998626538,3.147791687,2.583310118,2.03444328,3.735062694,3.423815305,3.154460349,3.100811558,3.923223884,2.234437871,3.420982191,3.639162961,3.148740275,3.404938782,3.33227,3.442328774,2.597642065,3.739248776,3.008928932
2.739021404,2.69545271,3.542441312,2.915728076,3.642249813,3.60431186,2.882480906,3.569215158,2.8302117,3.040076522,3.104324333,3.286773112,3.8300671,3.324968022,1.852185409,3.387016464,2.656597025,2.34270527,3.127651098,2.66500658
