1,2,3,4,5,6,7,8,9,10
3.833268852,3.843730704,3.108166117,2.430638859,3.580604486,2.618880747,3.424116295,2.456626575,2.896222584,3.881800424
2.980551711,2.382149075,1.981858135,2.530262458,2.151178142,2.686198952,3.427809447,2.882979201,3.148668774,3.200972288
2.731498139,3.8917192,2.662655993,3.398582485,3.578660878,2.832700297,3.755889838,3.427366995,3.358269618,3.837272272
3.186961279,1.921699159,1.992016704,3.217351151,2.67426271,3.708592032,3.114707106,3.909716446,2.93096947,3.418807502
3.474236519,3.014600604,2.575056803,2.703232298,3.255491691,3.852847801,3.664922802,3.781524807,3.268851177,3.828042562
3.20817695,3.54135319,3.395015454,2.508050791,3.107490877,2.82442295,2.714553297,1.726208446,1.651127275,1.820133258
3.707992744,1.758679099,3.678714606,3.58697379,3.565894937,3.53930199,2.480347411,3.314854184,3.488797095,3.626922429
1.506310069,3.225496069,2.237635721,3.544812376,1.845821956,3.380448671,3.09133776,3.260523697,3.481486621,1.868053007
1.876850756,2.750309767,2.807127739,3.32294388,3.173796126,2.332144513,3.004752841,2.827793186,2.479037878,3.08921913
3.577937262,2.561826244,2.327322466,2.264420006,2.520038367,3.118363315,2.936980337,3.189792352,3.470421562,2.479069686
3.514611848,3.984892795,3.436945602,2.980092156,2.267883509,1.815808155,2.963920872,2.537237587,2.761567436,2.654650366
3.086440631,3.285729558,3.056855078,2.472708734,3.234126325,3.99728273,2.83812582,3.144058411,3.937114735,3.066295516
3.394263206,3.342800172,3.402385424,2.701217575,3.557852069,2.968191382,3.654697563,2.80403479,2.741116282,2.662590953
2.874191253,1.622631289,3.951137114,3.958067426,3.075673139,2.586663914,3.584371894,3.198181216,3.432830228,3.506558068
2.107558857,3.384795784,3.79518639,2.61395982,3.175484705,3.476307574,2.680815146,2.293141231,2.931112131,3.086740794
3.087065423,3.232226324,2.984019375,3.246884011,3.473060517,3.035287487,3.625882784,3.847557623,3.054382248,2.616143981
