1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2.814738984,3.859357242,3.717783868,3.395581077,3.922068846,3.420220467,3.420198315,3.866635311,3.810420804,2.780261781,1.992170763,3.814005533,3.614810015,2.168611832,2.87585711,3.626772137,3.200003981,2.043328909,2.540661513,3.055988129,3.57883477,2.755272916,2.584117136,2.906888407,3.197708971
2.125884305,3.096097958,2.762411498,3.312352083,3.14627431,3.055951469,3.501661255,3.435307504,3.963244079,2.216925627,2.301278084,3.509248397,3.72596695,3.580259551,2.547126324,2.678724366,3.691942026,3.536071795,3.112131579,2.360695206,3.407825773,3.536948896,3.456984838,3.369657664,3.511834124
2.934261635,3.859996407,3.415379272,3.427659358,3.536594915,2.884568148,4.028229509,3.688005236,2.699061999,3.832087018,3.689802126,3.107374886,2.688507562,2.155907797,3.394131432,1.758869086,3.67161173,3.505643571,3.434178722,2.948248139,2.787529681,2.328650036,2.910535948,3.91105658,2.65648681
3.556709731,2.839150439,2.434457561,3.53495498,3.504556961,2.412125998,2.517076327,1.301485761,3.098633027,1.833287507,3.212905567,3.077521105,3.469851111,3.350949778,3.021037164,1.828944536,3.016095363,3.592368343,3.133617608,2.992692635,3.422196293,3.55423203,3.799820408,2.795965398,3.292383561
3.805911091,2.336423238,3.696467367,1.695956929,3.387819963,3.176432127,2.990276646,3.042713926,1.731579494,3.807338315,3.69826627,3.041990644,3.710050646,1.99206671,3.545797672,2.183380748,3.706322173,2.597600911,2.620864802,3.207535134,3.062306509,3.587396428,2.990220453,3.687668995,3.548313258
3.004470227,2.804522836,3.866886101,3.039414742,3.763315849,3.437792622,2.979855613,3.672913641,3.832683837,4.019562688,3.55260782,3.788972075,3.259470266,3.023327725,3.12403961,3.728881745,3.507533345,3.9775515,3.220754742,3.484874768,3.104294844,2.647815151,3.095946443,3.728140859,2.655494953
3.827853194,3.198067713,2.649725699,2.754218751,3.388691229,2.678806799,3.321092757,2.537895798,3.231166937,3.151672248,3.139983304,2.871390626,2.742331691,3.799208766,3.425164205,3.689403181,2.139898893,3.286740325,3.200807074,3.945557235,3.766309898,3.143411765,2.56381637,2.743161865,3.453372467
3.562657141,3.244855049,3.442959185,3.351815797,3.481125194,3.070730962,3.636897653,3.666456474,3.389479024,2.260670736,3.446426523,3.205953963,2.105647651,3.558049572,3.433777639,3.339123193,3.179913222,2.701527526,1.726165139,2.271075493,2.610929019,3.153958413,3.308013156,3.217047133,3.390430181
2.22147611,3.944885314,3.001662636,3.107427797,3.02445467,3.499976478,3.579116046,1.702346425,3.536554422,3.871291688,3.480255774,3.043933183,2.554199022,1.668861771,2.984904055,3.081616722,3.518920869,1.10120145,2.987491407,3.115008719,3.489610181,3.303720714,3.555699949,3.370464916,3.218643131
3.292875282,3.523311676,3.601927827,3.129697124,2.277208391,3.614514596,3.305587323,3.872785652,3.639835343,3.742527155,2.852065955,2.896034407,3.512292827,3.934158266,3.786447071,3.669996208,3.736820653,2.454668423,3.292541566,3.468036633,2.236934901,2.661341664,2.690801121,2.755222921,2.985694245
